Hotel,Price,City,Address
Stratton Hotel Asokoro (Formerly BON Hotel Stratton Asokoro),"₦84,050","Asokoro, Abuja","Bola Ige Close, Mohammadu Ribadu Street, Off Shehu Shagari Way, Asokoro, Area 11"
Vita Di Lusso,"₦200,000","Maitama, Abuja","No. 8 Iller Crescent, Off Katsina Ala Street, Maitama"
S.A Mews Luxury Apartment,"₦120,000","Asokoro, Abuja",No.10 Ukpabi Ashika Street Off Yakubu Gowon Cresent
3J's Hotels,"₦88,600","Utako, Abuja",Plot 31 P.O.W. Mafemi Crescent.
Sheraton Abuja Hotel,"₦108,900","Maitama, Abuja","Ladi Kwali Way, Maitama, Abuja"
The Envoy,"₦80,000","Abuja, Abuja","305 Diplomatic Drive, Central Business District"
The Knot Abuja,"₦150,000","Asokoro, Abuja","No 30, Ty Danjuma Street, Asokoro,"
Fraser Suites Abuja,"₦120,000","Central Business District, Abuja","Plot 294, Leventis Close"
BON Hotel Abuja (Formerly Protea Hotel Abuja),"₦80,000","Maitama, Abuja","3 Negro Crescent, Maitama"
Mya Homes & Suites,"₦90,000","Maitama, Abuja",3 Missouri Street  Off Colorado Street  Maitama
The Envoy,"₦80,000","Abuja, Abuja","305 Diplomatic Drive, Central Business District"
Fraser Suites Abuja,"₦120,000","Central Business District, Abuja","Plot 294, Leventis Close"
Stratton Hotel Asokoro (Formerly BON Hotel Stratton Asokoro),"₦84,050","Asokoro, Abuja","Bola Ige Close, Mohammadu Ribadu Street, Off Shehu Shagari Way, Asokoro, Area 11"
Sheraton Abuja Hotel,"₦108,900","Maitama, Abuja","Ladi Kwali Way, Maitama, Abuja"
3J's Hotels,"₦88,600","Utako, Abuja",Plot 31 P.O.W. Mafemi Crescent.
The Knot Abuja,"₦150,000","Asokoro, Abuja","No 30, Ty Danjuma Street, Asokoro,"
Mya Homes & Suites,"₦90,000","Maitama, Abuja",3 Missouri Street  Off Colorado Street  Maitama
BON Hotel Abuja (Formerly Protea Hotel Abuja),"₦80,000","Maitama, Abuja","3 Negro Crescent, Maitama"
Vita Di Lusso,"₦200,000","Maitama, Abuja","No. 8 Iller Crescent, Off Katsina Ala Street, Maitama"
S.A Mews Luxury Apartment,"₦120,000","Asokoro, Abuja",No.10 Ukpabi Ashika Street Off Yakubu Gowon Cresent
The Palms Hotel ,"₦80,000","Central Business District, Abuja","Plot 269 Mohammadu Buhari Way, Central Business District"
Transcorp Hilton Abuja,"₦102,434","Maitama, Abuja","1 Aguiyi Ironsi Street Maitama, Abuja"
 SheilaMartins Apartment,"₦65,000","Katampe, Abuja",House 13 Harmony Court Katampa District
Carlton Apex Apartments,"₦72,000","Abuja, Abuja","Plot 154 Henry Nkemadu Street, Behind GAA School Kaura District"
Behere Nigeria,"₦64,500","Jabi, Abuja","Plot 8/9 ICS Drive Off Citech Road, Dakibiyu By Jabi"
L'eola Suites,"₦62,300","Central Business District, Abuja","5th Floor, Leadway House, Plot 1061, Herbert Macaulay Way, (by NNPC Towers) Central Business District."
The Francis Hotel,"₦60,000","Abuja, Abuja","Plot 423, Adekunle Fajuyi Street"
Sandralia Hotel,"₦65,000","Jabi, Abuja","No 1. SOlomon Lar Way, Jabi"
SV Chrome Hotel,"₦59,000","Jabi, Abuja","No. 101A Ebitu Ukiwe Street, Jabi, Abuja, FCT"
 Ateilier Boutique Hotels,"₦70,000","Asokoro, Abuja","12, Ukpabi Asika Street, Off Ajayi Crowther Street, Asokoro"
THE WELLS CARLTON HOTEL AND APARTMENTS,"₦57,000","Asokoro, Abuja","8 Gado Nasko Close, Off Jose Marti Street, Asokoro, Abuja, Nigeria"
Tofana Hotels And Apartments,"₦50,000","Life Camp, Abuja","Behind Skye Bank, Life Camp"
Summerset Continental Hotel,"₦57,500","Maitama, Abuja",73 Usuma Street
Benny Rose Hotel,"₦52,500","Garki, Abuja","Number 6, Umudioka Close, Off Ngwe Close, Area 3, Garki, Abuja."
Mace 3 Bedroom Serviced Apartment - Life Camp,"₦50,000","Life Camp, Abuja","Paradise Estate, Life-camp"
Ayalla Hotels,"₦49,000","Garki, Abuja","Off Ahmadu Bello Way,garki Area 11,ibi Close Behind Kia Motors,abuja."
Treasure Suites And Conferences,"₦50,000","Central Business District, Abuja","Plot 66, 1st Avenue By Shehu Shagari Way, CBD Abuja, Opposite Federal High Court H/Q"
Grand Pela Hotel And Suites,"₦55,000","AMAC, Abuja","Plot 649 Cadastral Zone, Durumi"
URBAN ROOTZ GUEST HOUSE,"₦47,250","Maitama, Abuja",Volta Street Maitama Abuja
LEZSCO LUXURY APARTMENT HOTEL,"₦52,000","Asokoro, Abuja","14, Otuoke Street, Asokoro Zone D, Off Gimbiya Street, Area 11 (Formerly 56, Onitsha Crescent ) Abuja."
De Franklin Apartments,"₦44,000","Gwarimpa , Abuja","1, Paul Muotolum Crescent, Plot 1010 Old Gwarimpa Road OffAsba & Dantata Street, Life Camp Abuja"
Stonehedge Hotel,"₦44,500","Central Business District, Abuja","1041 Kur Mohammed Street, Central Business District, Abuja"
Ibeto Hotels Abuja,"₦46,000",", Abuja","#34 David Ejoor Crescent   Apo, Gudu District   Abuja."
YOUR PLACE AT ASOKORO,"₦45,000","Asokoro, Abuja",# 1 JULIUS NYERERE CRESCENT ASOKORO
Golden Gate Hotel,"₦45,000","Wuse, Abuja","2, Tessaqua Street, Off Mombassa Street, Zone 5."
Peniel Apartments Abuja,"₦45,000","Wuse, Abuja","Plot 171 Adetokunbo Ademola Crescent, Off IBB Way,"
Rockview Hotel Royale,"₦44,203","Wuse, Abuja",196 CAD Zone A8 Adetokunbo Ademola Crescent
"HT-Oriental Serviced Luxury Apartment, Abuja","₦45,000","Wuse 2, Abuja","Pakali Close Off Aminu Kano Crescent, Wuse 2"
Valencia Hotels Abuja,"₦45,825","Wuse, Abuja","44 Blantyre Street, Off Adetokunbo Ademola Crescent"
Newton Park Hotel,"₦45,000","Wuse, Abuja","Plot 2175 Cadastral Zone, 8 Cape Town Street, Of Ibrahim Babangida Way, Wuse Zone 4, Abuja"
Chelsea Hotel (Central Business District) ,"₦43,650","Central Business District , Abuja","Plot 123 Cadastral Zone A0, Cadastral Zone"
Nicon Luxury,"₦40,191","Garki, Abuja",Plot 903 Tafawa Balewa Way Area 11
The Nordic Villa,"₦39,970","Jabi, Abuja","No. 52, Mike Akhigbe Way"
Alphaplus Apartments,"₦43,000","Jabi, Abuja","No 91 Ebitu Ukiwe Street, Jabi, FCT"
THE STATEMENT HOTEL,"₦40,000","Central Business District, Abuja","Plot 1002, 1st Avenue By Shehu Shagari Way, Opposite The Federal High Court Headquarters, Central Business District Abuja."
Lakewood Luxury Apartments,"₦40,000","Asokoro, Abuja","5 Margaret Thatcher Close Off Queen Elizabeth Street, Asokoro."
Summerset Continental Hotel (Asokoro),"₦40,000","Asokoro, Abuja","Plot # 104, Kwame Nkurumah, Off Thomas Sankara Street, Asokoro, Abuja (beside Ecowas Secretariat )"
Duchess Villa Grand Hotel,"₦40,000","Wuse 2, Abuja","15, Mondou Street, Wuse II, Abuja"
Ozidu House,"₦40,000","Maitama, Abuja",No 24 Osun Crescent Maitama
